I, [2018-02-06T20:56:34.385355 #38429]  INFO -- Kitchen: -----> Starting Kitchen (v1.19.2)
E, [2018-02-06T20:56:34.386232 #38429] ERROR -- Kitchen: ------Exception-------
E, [2018-02-06T20:56:34.386358 #38429] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-02-06T20:56:34.386444 #38429] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tech-a23/Desktop/devops/devops-project/.kitchen.yml does not exist.
E, [2018-02-06T20:56:34.386525 #38429] ERROR -- Kitchen: ----------------------
E, [2018-02-06T20:56:34.386574 #38429] ERROR -- Kitchen: ------Backtrace-------
E, [2018-02-06T20:56:34.386616 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-02-06T20:56:34.386658 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:152:in `data'
E, [2018-02-06T20:56:34.386713 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:131:in `suites'
E, [2018-02-06T20:56:34.386755 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-02-06T20:56:34.386796 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-02-06T20:56:34.386837 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-02-06T20:56:34.386886 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-02-06T20:56:34.386927 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-02-06T20:56:34.386967 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-02-06T20:56:34.387007 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-02-06T20:56:34.387046 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:34:in `call'
E, [2018-02-06T20:56:34.387097 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:52:in `perform'
E, [2018-02-06T20:56:34.387130 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-02-06T20:56:34.387162 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-02-06T20:56:34.387195 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-02-06T20:56:34.387227 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-02-06T20:56:34.387265 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-02-06T20:56:34.387298 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-02-06T20:56:34.387330 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-02-06T20:56:34.387363 #38429] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `<top (required)>'
E, [2018-02-06T20:56:34.387395 #38429] ERROR -- Kitchen: /usr/local/bin/kitchen:255:in `load'
E, [2018-02-06T20:56:34.387427 #38429] ERROR -- Kitchen: /usr/local/bin/kitchen:255:in `<main>'
E, [2018-02-06T20:56:34.387458 #38429] ERROR -- Kitchen: ----End Backtrace-----
